^Working Class,,,,
@Riot,none,Riot on non-environmentally friendly events,2.5,
"&Working class citizens started a riot to expose and punish bystanders, but sacrificed their time and money while doing so.*",0,any,Working Class,-3
"The riot has lasted for 3 years now, and the government has forced participants to disband and go back to their normal lives.*",1,duration%==%0,Working Class,-6
"The riot has lasted for 6 years now, and the government has forced participants to disband and go back to their normal lives once again.*",2,duration%==%3,Working Class,-6
"Working class citizens ignored the government, and the riot has become a civil war.*",3,duration%>=%4,Working Class,-12
"&Because of the riot started by the working class, a nuclear plant was forced to shut down.*",6,nuclear%<=%Riot,Company,-5
The working class's riot has strongly impacted your free riding activites.*,5,any,Working Class,0
@Working Class Public transportation,transportation,Take public transportation,3.1,
"&Instead of commute by cars, working class citizens decided to commute via public transportation.*",0,any,Working Class,0
Old and management lacking public transportation system didn't grant you pleasant experiences.*,1,duration%>=%2,Working Class,-1
"&With working class join the public tranportation group, people feel crowded in the vehicle, reduced their living quality.*",0,Middle Class Public transportation%==%Working Class Public transportation,Middle Class,-1
"With working class join the public tranportation group, people feel crowded in the vehicle, reduced their living quality.*",0,Upper Class Public transportation%==%Working Class Public transportation,Upper Class,-1
@Working Class Local seasonal food,transportation,Buy local and seasonal food,1.24,
"&Working class citizens make an effort to buy local and seasonal food; however, financial restrictions limit their choices.*",0,any,Working Class,-1
"Eating only local and seasonal food for a while, you missed the taste of other variety of food choices.*",1,duration%>=1,Working Class,-2
@Working Class Building,none,Move to on-site renewable powered buildings,1.14,
"&Working class citizens relocated to on-site renewable powered buildings; however, their commute to work was longer and living fees were higher.*",0,any,Working Class,-2
@Protest,none,Protest againt climate injustice,1,
&Working class citizens decided to protest for climate justice.*,0,any,Working Class,0
&The working class increased your pressure to take action by protesting against you.*,1,Other%==%Protest,Middle Class,-1
The working class blamed you for environmental destruction and asked you to take immediate action in their protest against you.* ,1,Other%==%Protest,Upper Class,-2
"The working class exposed your excessive consumption of electricity, decreasing your brand image and impact.*",1,Not Enough Benefit%==%Protest,Company,-3
@Working Class Meat,none,Reduce meat consumption,0.95,
"&Working class citizens decided to eat less meat - though, vegetables are still expensive.*",0,any,Working Class,0
"It has been a long time of eating less meat, do you feel healthier?*",1,duration%>=%2,Working Class,0
@Oneself,free,Do nothing. You don't have enough power to make a change.,0,
&The working class fell into self-doubt.*,0,any,Working Class,0
^Middle Class,,,,
@AC,none,Decrease AC usage,0.42,
&Middle class citizens began to reduce their AC usage.*,0,any,Middle Class,-1
Middle class citizens experienced heat strokes due to hot summers and shortage of UC usage.*,1,duration%==%1,Middle Class,-2
"As temperature raises worldwide, living quality without AC decreases further.*",2,duration%>=%2,Middle Class,-3
@Middle Class Public transportation,transportation,Take public transportation,5,
"&Instead of using cars, the middle class decided to commute via public transportation.*",0,any,Middle Class,-1
"&With middle class join the public tranportation group, people feel crowded in the vehicle, reduced their living quality.*",0,Working Class Public transportation%==%Middle Class Public transportation,Working Class,-1
"With middle class join the public tranportation group, people feel crowded in the vehicle, reduced their living quality.*",0,Upper Class Public transportation%==%Middle Class Public transportation,Upper Class,-1
@Middle Class Meat,none,Reduce meat consumption,1.2,
"&Middle class citizens decided to eat less meat - though, vegetables are still expensive.*",0,any,Middle Class,0
@Building,none,Move to on-site renewable powered buildings,1.8,
"&Middle class citizens relocated to on-site renewable powered buildings; however, their commute to work was longer and living fees were higher.*",0,any,Middle Class,-1
